,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
21,saf42,Fri 18 September 2020 ,تاوريرت,تاوريرت,Morocco ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
22,saf42,Fri 18 September 2020 ,طنجة,طنجة,Morocco ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
23,saf42,Fri 18 September 2020 ,بنسليمان ,بنسليمان,Morocco ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
24,saf42,Fri 18 September 2020 ,الناظور,الشرق,Morocco ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
25,saf42,Fri 18 September 2020 ,Al-Khoudh,Muscat,Oman ,After sunset,clear,clear,Seen,seen,not sought,seen,not sought
26,saf42,Fri 18 September 2020 ,الهفوف,الأحساء,Saudi Arabia ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
27,saf42,Fri 18 September 2020 ,المدينة المنورة ,المدينة المنورة,Saudi Arabia ,After sunset,clear,hazy,Not Seen,not seen,not seen,not sought,not sought
28,saf42,Fri 18 September 2020 ,جدة,مكة,Saudi Arabia ,After sunset,partly cloudy,clear,Seen,seen,seen,seen,not sought
29,saf42,Fri 18 September 2020 ,York,North Yorkshire,United Kingdom ,After sunset,totally cloudy,hazy,Seen by others,seen,seen,not sought,not sought
30,saf42,Fri 18 September 2020 ,‏ ‏لورنس Lawrence,‏ماساتشوستس Massachusetts,United States ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
31,saf42,Wed 16 September 2020 ,ڨمار,وادي سوف ,Algeria ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
32,saf42,Wed 16 September 2020 ,كوينين,الوادي,Algeria ,Before sunrise,clear,superb,Seen,not sought,not sought,not sought,not sought
33,saf42,Wed 16 September 2020 ,Munich,Bavaria,Germany ,After sunrise,clear,hazy,Photographed,not sought,not sought,not sought,seen
34,saf42,Wed 16 September 2020 ,Surakarta,Central Java,Indonesia ,Before sunrise,clear,clear,Seen,not seen,seen,seen,not sought
35,saf42,Wed 16 September 2020 ,طنجة,طنجة,Morocco ,Before sunrise,clear,clear,Seen,seen,seen,not sought,not sought
36,saf42,Wed 16 September 2020 ,ديربلوط,سلفيت,Palestine ,Before sunrise,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
37,saf42,Wed 16 September 2020 ,المدينة المنورة,المدينة المنورة ,Saudi Arabia ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
38,saf42,Wed 16 September 2020 ,Bolton,Greater Manchester,United Kingdom ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
39,saf42,Wed 16 September 2020 ,Bolton,Greater Manchester,United Kingdom ,Before sunrise,partly cloudy,clear,Seen by others,seen,not sought,not sought,not sought
40,saf42,Thu 17 September 2020 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,After sunrise,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
41,saf42,Thu 17 September 2020 ,Hafeet Mountain,Abu Dhabi,Saudi Arabia ,After sunrise,clear,superb,Photographed,not sought,not sought,not sought,seen
