,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
23,hej41,Tue 21 July 2020 ,طنجة,طنجة,Morocco ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
24,hej41,Tue 21 July 2020 ,تاوريرت,تاوريرت,Morocco ,After sunset,totally cloudy,hazy,Seen by others,not sought,not sought,not sought,not sought
25,hej41,Tue 21 July 2020 ,بنسليمان ,بنسليمان,Morocco ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
26,hej41,Tue 21 July 2020 ,كاتماندو,باغمتي,Nepal ,Before sunset,totally cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
27,hej41,Tue 21 July 2020 ,Kaduna ,Kaduna ,Nigeria ,After sunset,totally cloudy,hazy,Seen by others,seen,not sought,not sought,not sought
28,hej41,Tue 21 July 2020 ,مقيبلة,الشمال,Palestine ,After sunset,partly cloudy,clear,Photographed,not seen,not sought,not seen,seen
29,hej41,Tue 21 July 2020 ,الظهران,الشرقيه,Saudi Arabia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
30,hej41,Tue 21 July 2020 ,حمام الأنف,بن عروس,Tunisia ,After sunset,clear,superb,Seen,seen,seen,not sought,not sought
31,hej41,Tue 21 July 2020 ,Hafeet Mountain,Abu Dhabi,United Arab Emirates ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
32,hej41,Tue 21 July 2020 ,لورنس Lawrence,‏ماساتشوستس Massachusetts,United States ,After sunset,partly cloudy,clear,Seen,seen,seen,not sought,not sought
33,hej41,Tue 21 July 2020 ,Christiansburg,Virginia,United States ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not seen,not sought,not sought
34,hej41,Wed 22 July 2020 ,Medan,North Sumatera,Indonesia ,After sunset,partly cloudy,hazy,Seen,seen,seen,seen,seen
35,hej41,Wed 22 July 2020 ,الصدر,بغداد,Iraq ,After sunset,clear,hazy,Seen,seen,seen,not sought,not sought
36,hej41,Sun 19 July 2020 ,ڨمار,وادي سوف ,Algeria ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
37,hej41,Sun 19 July 2020 ,Ponorogo ,Jawa Timur ,Indonesia ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,seen
38,hej41,Sun 19 July 2020 ,Surakarta,Central Java,Indonesia ,Before sunrise,clear,clear,Seen,seen,seen,seen,seen
39,hej41,Sun 19 July 2020 ,تاوريرت,تاوريرت,Morocco ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
40,hej41,Sun 19 July 2020 ,تاوريرت,تاوريرت,Morocco ,Before sunrise,clear,superb,Seen,seen,not sought,not sought,not sought
41,hej41,Sun 19 July 2020 ,الرياض,الرياض,Saudi Arabia ,Before sunrise,clear,clear,Seen,seen,seen,not sought,not sought
42,hej41,Sun 19 July 2020 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,Before sunrise,clear,clear,Seen,seen,seen,not sought,not sought
43,hej41,Sun 19 July 2020 ,لورنس Lawrence,‏ماساتشوستس Massachusetts,United States ,Before sunrise,partly cloudy,clear,Seen,seen,seen,not sought,not sought
44,hej41,Mon 20 July 2020 ,Munich,Bavaria,Germany ,After sunrise,clear,clear,Photographed,not sought,not sought,not sought,seen
45,hej41,Mon 20 July 2020 ,المدينة المنورة ,المدينة المنورة ,Germany ,After sunrise,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
